OrderID,Date,customerID,Product,Quantity,UnitPrice,TotalPrice,TotalPrice_per_Quantity,IsHighValue,Year,Month,DayOfWeek
ORD2000,2023-01-01,C72649,Monitor,5.0,570.62,2761.7500000000005,552.3500000000001,1,2023,1,6
ORD2000,2024-08-15,C75739,Phone,2.0,151.35,302.7,151.35,0,2024,8,3
ORD2000,2024-02-20,C81728,Tablet,5.0,550.68,2753.4,550.6800000000001,1,2024,2,1
ORD2000,2023-10-10,C33540,Chair,1.0,273.19,273.19,273.19,0,2023,10,1
ORD2000,2025-05-05,C81840,Printer,4.0,626.01,2504.04,626.01,1,2025,5,0
ORD2000,2023-10-12,C37249,Phone,2.0,245.86,491.72,245.86,0,2023,10,3
ORD2000,2025-06-11,C83492,Laptop,1.0,664.42,664.42,664.42,1,2025,6,2
ORD2000,2023-05-11,C41460,Monitor,5.0,149.55,747.75,149.55,1,2023,5,3
ORD2000,2025-04-04,C26817,Phone,2.0,134.28,268.56,134.28,0,2025,4,4
ORD2000,2023-11-22,C31946,Desk,4.0,393.33,2037.52,509.38,1,2023,11,2
ORD2000,2023-12-22,C43443,Tablet,2.0,625.97,2761.7500000000005,1380.8750000000002,1,2023,12,4
ORD2000,2024-02-11,C93861,Monitor,3.0,49.14,147.42,49.13999999999999,0,2024,2,6
ORD2000,2024-10-11,C38785,Monitor,2.0,180.5,361.0,180.5,0,2024,10,4
ORD2000,2023-08-22,C88348,Laptop,3.0,201.49,604.47,201.49,0,2023,8,1
ORD2000,2023-03-22,C98474,Tablet,2.0,393.33,786.66,393.33,1,2023,3,2
ORD2000,2023-07-11,C39416,Printer,1.0,473.96,473.96,473.96,0,2023,7,1
ORD2000,2023-01-22,C28976,Printer,2.0,533.81,1067.62,533.81,1,2023,1,6
ORD2000,2024-03-11,C60672,Tablet,1.0,423.4,423.4,423.4,0,2024,3,0
ORD2000,2025-03-22,C84329,Desk,1.0,431.44,431.44,431.44,0,2025,3,5
ORD2000,2023-01-22,C14552,Monitor,5.0,224.0,1120.0,224.0,1,2023,1,6
